Okt;Nov;Dec;Jan;Feb;March;Apr;May;June;July;Aug;Sep;Okt-Nov;Okt-Dec;Okt-Jan;Okt-Feb;Mejveg;Veg
246.38;248.83;208.88;184.51;161.11;207.28;896.83;1277.41;1879.20;1582.70;747.16;355.10;495.21;704.09;888.61;1049.71;1257;6738
260.03;206.06;183.98;166.84;153.37;187.19;635.04;1122.08;1264.90;926.59;516.85;324.00;466.10;650.08;816.92;970.28;1157;4789
235.66;206.32;177.55;162.82;134.98;213.44;484.70;1170.29;1044.58;1100.66;554.35;326.59;441.99;619.54;782.36;917.34;1131;4681
242.89;184.81;163.36;148.63;127.72;157.73;461.38;814.11;622.08;527.57;404.38;240.54;427.70;591.06;739.69;867.41;1025;3070
226.29;197.25;171.39;156.13;132.08;160.68;352.51;736.45;974.59;883.74;559.70;295.49;423.54;594.93;751.06;883.14;1044;3802
216.92;186.88;168.45;140.33;123.30;192.01;487.30;897.13;1591.49;1004.25;559.70;292.90;403.80;572.25;712.57;835.87;1028;4833
218.52;189.22;171.39;154.25;157.24;204.60;666.14;1317.58;1581.12;1041.74;519.53;292.90;407.74;579.13;733.39;890.62;1095;5419
228.43;183.00;171.12;148.63;126.27;148.90;362.88;720.38;979.78;776.62;433.84;277.34;411.43;582.55;731.18;857.45;1006;3551
227.63;180.40;180.50;156.13;147.32;247.72;686.88;1440.76;1759.97;1574.66;862.32;412.13;408.03;588.53;744.66;891.97;1140;6737
297.26;241.06;193.08;160.41;144.60;179.43;562.46;1044.42;1570.75;1108.69;562.38;339.55;538.31;731.40;891.81;1036.41;1216;5188
239.95;201.40;177.28;186.39;130.38;174.87;300.67;693.60;1166.40;873.03;498.11;303.26;441.35;618.63;805.02;935.40;1110;3835
243.97;199.32;223.08;166.30;143.93;240.22;544.32;1641.61;1977.70;1079.23;634.69;365.47;443.29;666.37;832.67;976.60;1217;6243
281.19;236.13;192.01;170.05;141.03;183.98;419.90;650.75;1150.85;937.30;514.18;321.41;517.32;709.33;879.39;1020.41;1204;3994
238.61;177.81;158.81;136.04;126.05;152.11;523.58;996.22;1306.37;1207.78;538.28;344.74;416.42;575.23;711.27;837.32;989;4917
253.34;201.66;178.35;134.44;161.59;193.62;557.28;1333.64;1845.50;1384.53;623.97;370.66;455.00;633.35;767.79;929.38;1123;6116
245.04;290.30;214.78;191.48;146.83;246.11;614.30;1456.83;1749.60;1312.22;696.28;425.09;535.34;750.12;941.59;1088.43;1335;6254
286.55;344.74;310.65;229.77;189.65;240.75;438.05;1106.01;1101.60;883.74;567.74;334.37;631.28;941.93;1171.70;1361.35;1602;4432
270.48;210.21;187.46;160.41;147.60;167.38;508.03;921.23;1480.03;1194.39;658.79;347.33;480.69;668.15;828.56;976.16;1144;5110
273.16;214.62;183.98;168.45;145.14;190.94;585.79;996.22;1303.78;918.55;506.14;316.22;487.77;671.75;840.20;985.34;1176;4627
232.72;189.22;167.38;155.90;146.10;217.89;885.17;1474.16;1832.63;1698.74;849.31;479.52;421.93;589.31;745.21;891.30;1109;7220
334.83;236.71;211.00;187.61;174.62;216.64;438.77;1178.59;1271.72;1236.21;702.63;395.97;571.54;782.54;970.15;1144.77;1361;5224
272.03;231.09;200.92;192.84;171.24;215.83;511.49;1107.13;831.17;610.50;441.85;308.45;503.12;704.04;896.89;1068.13;1284;3811
329.18;276.48;235.44;215.05;170.73;297.04;668.74;1340.06;1401.41;734.40;488.07;356.83;605.66;841.10;1056.15;1226.88;1524;4990
316.14;298.94;231.98;219.28;179.71;333.07;981.50;1146.44;1725.41;1576.63;995.85;510.62;615.08;847.07;1066.35;1246.06;1579;6936
378.60;271.30;229.65;208.05;176.77;267.84;775.01;1303.17;1888.70;1367.71;641.26;382.75;649.90;879.55;1087.60;1264.38;1532;6359
290.48;248.83;237.51;209.26;194.83;308.36;770.69;1277.16;1336.61;976.23;574.47;362.88;539.31;776.82;986.08;1180.92;1489;5298
289.79;241.92;229.31;200.71;171.76;471.31;798.34;1398.64;1849.82;1149.98;610.68;393.12;531.71;761.01;961.72;1133.48;1605;6201
278.47;208.22;196.73;177.47;213.58;266.03;670.46;1340.67;1152.58;782.78;513.39;295.49;486.69;683.42;860.89;1074.47;1340;4755
302.83;298.08;227.06;189.99;172.08;307.26;1026.10;1491.60;1629.00;1098.00;607.31;368.84;600.91;827.97;1017.96;1190.04;1497;6221
272.64;231.22;206.10;188.35;176.99;300.20;431.83;995.51;984.70;574.47;429.34;270.00;503.85;709.95;898.30;1075.29;1375;3686
227.59;242.87;206.69;185.94;171.85;339.55;672.00;1196.00;1664.00;1497.23;856.91;462.37;470.46;677.15;863.09;1034.95;1374;6349
371.00;269.00;232.40;220.46;234.03;532.48;1093.56;1738.45;1911.86;1454.98;791.16;451.27;640.00;872.40;1092.86;1326.89;1859;7441
323.20;263.80;224.60;193.10;171.90;224.71;598.49;1055.64;973.04;680.48;479.87;320.47;587.00;811.60;1004.70;1176.60;1401;4108
231.58;217.53;200.35;183.84;162.10;212.46;947.20;1242.17;1474.07;1025.91;573.00;355.19;449.11;649.46;833.30;995.40;1208;5618
258.11;200.73;172.07;164.53;157.87;425.86;687.95;1005.27;1372.94;869.20;596.92;365.16;458.84;630.90;795.43;953.30;1379;4897
272.94;222.12;215.82;193.95;165.79;276.55;616.21;1688.26;1456.56;835.38;469.37;321.06;495.06;710.89;904.83;1070.62;1347;5387
307.88;281.10;243.40;229.48;231.81;324.93;735.08;1367.04;1434.47;977.72;512.39;321.23;588.98;832.38;1061.86;1293.67;1619;5348
311.87;334.73;330.07;274.62;230.52;469.43;734.77;1485.05;1710.05;1129.72;658.54;426.77;646.60;976.67;1251.29;1481.81;1951;6145
369.20;286.81;303.79;258.72;259.55;394.96;1237.23;2324.76;2148.59;1568.94;858.01;556.70;656.01;959.80;1218.53;1478.08;1873;8694
445.17;288.20;228.13;213.35;185.21;437.35;766.70;1135.50;1245.17;865.44;386.01;274.06;733.37;961.50;1174.85;1360.06;1797;4673
262.95;247.25;236.51;210.98;161.59;318.75;976.92;1390.52;1602.29;1266.32;615.43;389.12;510.20;746.71;957.68;1119.27;1438;6241
302.07;245.36;216.33;201.71;199.58;336.46;620.18;1068.52;1082.91;751.75;536.32;339.18;547.43;763.76;965.46;1165.04;1502;4399
229.41;185.26;166.12;157.15728;157.125312;233.933184;465.96384;1177.08768;961.848;565.875072;376.892352;315.144;414.67;580.79;737.94;895.07;1129;3863
203.72256;173.7072;157.895136;157.280832;136.93536;346.4424;814;1149;1064;800;434;309;377.43;535.32;692.61;829.54;1176;4572
249.867936;240.65856;224.828352;202.461984;192.060288;425.42064;684.46944;975.139776;1156.02336;672.57216;413.341056;307.27296;490.53;715.35;917.82;1109.88;1535;4209
