Okt;Nov;Dec;Jan;Feb;March;Apr;May;June;July;Aug;Sep;Okt-Nov;Okt-Dec;Okt-Jan;Okt-Feb;Mejveg;Veg
902.9552207;639.4640277;553.541242;431.4073929;366.3328165;467.7256239;993.7969515;1837.590091;2895.283091;3801.093032;3224.255204;1562.665554;1542.419248;2095.96049;2527.367883;2893.7007;3361.426324;14314.68392
811.818292;574.9217491;497.6713079;452.1871823;383.9781302;490.2547695;1041.665606;1926.1021;3034.741463;3984.18195;3379.55932;1637.935152;1386.740041;1884.411349;2336.598531;2720.576662;3210.831431;15004.18559
850.9215004;602.6142576;521.6428604;405.0146122;344.0045331;439.1109547;932.9981208;1725.169411;2718.154527;3568.548535;3027.000678;1467.064296;1453.535758;1975.178618;2380.19323;2724.197764;3163.308718;13438.93557
762.1526105;539.7490007;467.2246119;454.4741501;385.920126;492.7342667;1046.933901;1935.843494;3050.089877;4004.332224;3396.651674;1646.219122;1301.901611;1769.126223;2223.600373;2609.520499;3102.254766;15080.07029
855.2250943;605.6620206;524.281105;519.1310012;440.823975;562.8342848;1195.878455;2211.250895;3484.018203;4574.018118;3879.884442;1880.42242;1460.887115;1985.16822;2504.299221;2945.123196;3507.957481;17225.47253
976.8957363;691.8279754;598.8692094;490.298809;416.3409032;531.5748411;1129.460157;2088.439484;3290.518137;4319.980178;3664.398228;1775.985003;1668.723712;2267.592921;2757.89173;3174.232633;3705.807474;16268.78119
922.6395936;653.4043075;565.6084098;428.501386;363.953336;464.5749734;987.1026275;1825.211885;2875.78015;3775.488457;3202.536271;1552.13927;1576.043901;2141.652311;2570.153697;2934.107033;3398.682006;14218.25866
806.349796;571.0490139;494.31894;488.6000181;414.8983622;529.7330367;1125.546795;2081.203444;3279.117126;4305.01228;3651.701794;1769.831557;1377.39881;1871.71775;2360.317768;2775.21613;3304.949167;16212.413
919.4428253;651.1403876;563.6486858;426.2721517;361.9721879;462.15807;981.9673278;1815.716408;2860.8192;3755.846868;3185.875406;1544.064425;1570.583213;2134.231899;2560.50405;2922.476238;3384.634308;14144.28964
802.1548443;568.0781902;491.7472967;401.6876987;341.0961157;435.5039634;925.3341897;1710.998344;2695.826777;3539.23539;3002.135971;1455.013383;1370.233035;1861.980331;2263.66803;2604.764146;3040.268109;13328.54405
755.8920566;535.3153379;463.3866865;463.0865269;393.3286842;502.0716805;1066.77351;1972.528119;3107.889696;4080.215128;3461.018909;1677.415307;1291.207394;1754.594081;2217.680608;2611.009292;3113.080973;15365.84067
871.4317825;617.1394381;534.2163378;428.2057661;363.6141311;464.2544667;986.421633;1823.952685;2873.796171;3772.883777;3200.326866;1551.068461;1488.571221;2022.787558;2450.993324;2814.607456;3278.861922;14208.44959
805.7935015;570.6550515;493.9779132;399.0614492;338.8660163;432.6566219;919.2843196;1699.811771;2678.201359;3516.095734;2982.507892;1445.50045;1376.448553;1870.426466;2269.487915;2608.353932;3041.010554;13241.40153
750.9500055;531.8154258;460.3570467;453.4565017;385.0559822;491.6309471;1044.58963;1931.508797;3043.260184;3995.365812;3389.045967;1642.532945;1282.765431;1743.122478;2196.57898;2581.634962;3073.265909;15046.30333
853.3100934;604.3058357;523.1071464;589.3004343;500.5301406;638.9109641;1357.52188;2510.139271;3954.942847;5192.274892;4404.317179;2134.593669;1457.615929;1980.723075;2570.02351;3070.55365;3709.464615;19553.78974
1108.939902;785.3403581;679.8166251;600.6569613;510.0523542;651.2235455;1383.682957;2558.512669;4031.159345;5292.336264;4489.19366;2175.729852;1894.28026;2574.096885;3174.753847;3684.806201;4336.029746;19930.61475
1130.310506;800.4748098;692.9175077;610.6369974;518.5269765;662.0437556;1406.673127;2601.022871;4098.137867;5380.269495;4563.782514;2211.880041;1930.785315;2623.702823;3234.339821;3752.866797;4414.910553;20261.76592
1149.090842;813.7748596;704.4304714;505.2611687;429.0463029;547.7968139;1163.927687;2152.172012;3390.934282;4451.812229;3776.224003;1830.182415;1962.865701;2667.296173;3172.557341;3601.603644;4149.400458;16765.25263
950.7956185;673.3441281;582.868979;517.8985568;439.8840088;561.4980865;1193.039376;2206.001269;3475.74696;4563.159157;3870.673392;1875.958198;1624.139747;2207.008726;2724.907282;3164.791291;3726.289378;17184.57835
974.5765343;690.1855393;597.4474623;457.5871165;388.5635247;496.1092996;1054.10498;1949.103249;3070.981774;4031.7603;3419.917381;1657.495065;1664.762074;2262.209536;2719.796652;3108.360177;3604.469477;15183.36275
861.0830446;609.8105635;527.8722212;520.5201889;442.0036142;564.3404219;1199.07861;2217.168174;3493.34139;4586.25813;3890.266962;1885.454405;1470.893608;1998.765829;2519.286018;2961.289632;3525.630054;17271.56767
979.5098964;693.679298;600.4717755;475.9673884;404.1712701;516.0369232;1096.446068;2027.394456;3194.336384;4193.707278;3557.287969;1724.073011;1673.189194;2273.66097;2749.628358;3153.799628;3669.836552;15793.24516
895.6708639;634.3053177;549.0756917;436.0189982;370.3385197;472.7254593;1004.420319;1857.233334;2926.232729;3841.725485;3258.721448;1579.369943;1529.976182;2079.051873;2515.070872;2885.409391;3358.134851;14467.70326
