Okt,Nov,Dec,Jan,Feb,March,Apr,May,June,July,Aug,Sep,Okt-Nov,Okt-Dec,Okt-Jan,Okt-Feb,Mejveg,Veg
124.527,108.6048,96.408,91.5876,97.7276,132.0254,373.248,656.11,676.512,380.276,200.3144,133.488,233.1318,329.5398,421.1274,518.855,650.8804,2419.9484
144.0764,154.4832,122.1168,89.9808,84.9534,172.4632,381.024,607.906,891.648,701.636,310.648,171.072,298.5596,420.6764,510.6572,595.6106,768.0738,3063.934
152.3782,122.6016,102.8352,88.6418,79.1013,95.8724,122.6016,219.596,207.36,226.8266,123.7236,92.7936,274.9798,377.815,466.4568,545.5581,641.4305,992.9014
107.6556,135.5616,94.5334,84.6248,99.6628,189.6024,435.456,923.91,1283.04,739.128,431.158,261.792,243.2172,337.7506,422.3754,522.0382,711.6406,4074.484
211.8298,167.184,151.307,115.154,107.6455,152.9138,326.592,567.736,694.656,570.414,240.4844,135.3024,379.0138,530.3208,645.4748,753.1203,906.0341,2535.1848
164.697,143.5968,133.9,112.2082,93.975,128.0084,258.4224,524.888,689.472,396.344,213.7044,130.1184,308.2938,442.1938,554.402,648.377,776.3854,2212.9492
137.1136,136.8576,134.4356,105.781,98.4533,289.224,598.752,1483.612,1588.896,1159.574,492.752,249.6096,273.9712,408.4068,514.1878,612.6411,901.8651,5573.1956
283.868,224.4672,182.9074,145.4154,133.7707,181.5684,515.808,846.248,855.36,645.398,490.074,295.488,508.3352,691.2426,836.658,970.4287,1151.9971,3648.376
221.4706,184.5504,170.5886,144.0764,113.9349,206.4738,425.088,709.67,899.424,439.192,231.3792,163.0368,406.021,576.6096,720.686,834.6209,1041.0947,2867.79
157.1986,135.5616,115.6896,104.7098,90.216,133.0966,274.752,530.244,676.512,439.192,289.224,164.8512,292.7602,408.4498,513.1596,603.3756,736.4722,2374.7752
177.5514,188.1792,146.2188,112.2082,116.8377,163.8936,456.192,816.79,847.584,441.87,242.8946,169.5168,365.7306,511.9494,624.1576,740.9953,904.8889,2974.8474
151.8426,114.048,96.6758,94.8012,81.0365,120.51,178.3296,193.8872,219.2832,161.4834,119.4388,98.2368,265.8906,362.5664,457.3676,538.4041,658.9141,970.659
140.0594,108.3456,100.9606,97.4792,87.084,133.3644,277.344,265.122,479.52,267.8,142.2018,96.6816,248.405,349.3656,446.8448,533.9288,667.2932,1528.6694
108.9946,98.7552,101.764,92.9266,80.192,110.0658,430.272,615.94,417.312,340.106,154.7884,125.1936,207.7498,309.5138,402.4404,482.6324,592.6982,2083.612
149.968,139.7088,108.1912,91.8554,81.2784,136.578,258.4224,420.446,749.088,270.478,162.2868,134.2656,289.6768,397.868,489.7234,571.0018,707.5798,1994.9868
160.68,149.5584,130.1508,104.442,90.2287,137.917,360.288,532.922,588.384,307.97,183.7108,106.5312,310.2384,440.3892,544.8312,635.0599,772.9769,2079.806
113.815,101.088,108.9946,114.0828,97.4857,118.3676,775.008,1127.438,1425.6,961.402,404.378,186.3648,214.903,323.8976,437.9804,535.4661,653.8337,4880.1908
183.443,143.856,137.1136,121.0456,101.7436,131.7576,388.8,856.96,699.84,407.056,175.409,174.1824,327.299,464.4126,585.4582,687.2018,818.9594,2702.2474
140.595,110.16,78.4654,102.0318,93.8572,156.3952,373.248,929.266,865.728,567.736,267.8,180.4032,250.755,329.2204,431.2522,525.1094,681.5046,3184.1812
182.3718,149.5584,137.6492,154.5206,121.6757,154.7884,342.144,380.276,226.8,273.156,209.9552,123.6384,331.9302,469.5794,624.1,745.7757,900.5641,1555.9696
181.5684,161.4816,136.8458,113.0116,104.5008,120.2422,248.3136,607.906,598.752,626.652,350.818,179.6256,343.05,479.8958,592.9074,697.4082,817.6504,2612.0672
175.409,154.7424,160.1444,103.6386,95.7292,196.2974,388.8,591.838,653.184,214.5078,225.2198,96.4224,330.1514,490.2958,593.9344,689.6636,885.961,2169.972
152.646,136.5984,115.6896,103.103,117.8053,177.0158,427.68,690.924,619.488,380.276,170.8564,130.896,289.2444,404.934,508.037,625.8423,802.8581,2420.1204
145.6832,180.9216,148.629,118.9032,108.3712,109.2624,182.9952,299.936,471.744,307.97,108.9946,95.904,326.6048,475.2338,594.137,702.5082,811.7706,1467.5438
160.68,121.0464,138.1848,124.2592,110.3064,256.5524,554.688,974.792,1275.264,1376.492,709.67,342.144,281.7264,419.9112,544.1704,654.4768,911.0292,5233.05
318.682,383.616,310.648,250.9286,233.5592,307.97,826.848,1264.016,1316.736,878.384,420.446,216.432,702.298,1012.946,1263.8746,1497.4338,1805.4038,4922.862
208.6162,180.4032,162.2868,147.5578,119.9824,175.6768,171.3312,482.04,489.888,377.598,135.7746,139.4496,389.0194,551.3062,698.864,818.8464,994.5232,1796.0814
155.8596,164.592,156.3952,130.1508,120.95,160.1444,269.568,773.942,676.512,332.072,137.3814,150.8544,320.4516,476.8468,606.9976,727.9476,888.092,2340.3298
163.358,204.5088,149.4324,116.493,115.8701,189.0668,375.84,554.346,736.128,396.344,182.9074,126.4896,367.8668,517.2992,633.7922,749.6623,938.7291,2372.055
175.409,158.112,147.5578,132.8288,114.7748,148.3612,383.616,843.57,733.536,615.94,231.1114,168.48,333.521,481.0788,613.9076,728.6824,877.0436,2976.2534
151.8426,152.1504,156.9308,137.1136,141.0277,158.002,438.048,1076.556,1394.496,680.212,273.156,203.2128,303.993,460.9238,598.0374,739.0651,897.0671,4065.6808
221.4706,239.2416,190.9414,159.0732,133.2869,242.359,505.44,1194.388,1067.904,573.092,232.986,184.032,460.7122,651.6536,810.7268,944.0137,1186.3727,3757.842
168.714,189.216,173.5344,143.273,113.693,175.6768,313.632,447.226,375.84,281.19,208.884,125.712,357.93,531.4644,674.7374,788.4304,964.1072,1752.484
126.6694,134.784,106.3166,88.374,82.9486,123.7236,443.232,704.314,987.552,712.348,265.9254,143.3376,261.4534,367.77,456.144,539.0926,662.8162,3256.709
123.7236,151.8912,137.917,128.544,95.5505,122.6524,183.7728,329.394,414.72,266.7288,131.4898,109.3824,275.6148,413.5318,542.0758,637.6263,760.2787,1435.4878
